review,score
깔끔하다.. 이게 영화지ㅋ ,8
스포일러가 포함된 감상평입니다. 감상평 보기아만다 살 줄 알았는데... 언니 멋있었어요... ,10
충분히 볼만하다. 속편도 제작확정 이라는데 궁금해진다 ,10
캐릭터 개성이 각자 잘 두드러져서 흥미로웠다 ,8
"진심 시간가는줄도 모르고 봤네 이 영화 아만다,조이가 다함 ",10
혼자 집에서 킬링으로 봤는데 재밌는데??ㅋㅋㅋ 개인적으로 당구장방에서 손에 땀이ㅠㅠ ,8
잔인하지않은데 재밌는 탈출류는 이영화가 유일한거같다. 큐브 직쏘 등의 영화로 익숙한 플롯과 클리셰지만 잔인한장면을 넣지않으면서도긴박한 연출을 한다는것만으로도 높은점점수를 줄수밖에없다. 10점까진아니지만 평점이너무낮아...,10
냉동실에서 얼음을 손으로 녹이고있네 ,6
오락영화가 이 정도면 훌륭하지 뭘 더 바래. 비슷한 이름의 방탈출 영화 보다 이 영화 한 편이 모든걸 말해 준다. ,10
관람객극한상황에서 살아남기.아무리 상금이 많아서 체험하긴싫다 ,8
ㅋㅋ심장병환잔데 보다가 관객탈출하고 저도 죽을뻔했어요절대 혈압이나 심장병있는 사람은 보지마요 ,10
관람객스릴 대박이었음!!! ,10
관람객재미있게봤습니다 감사합니다 ,10
개유치하다 진짜로... ,1
관람객흥미롭게 봤어요 몰입감 있음 ,8
관람객재미있어요 충분히 영화관에서 볼만한영화 ,8
관람객진짜 첨부터 끝까지 몰입하고 봤어여 심장 쫄깃함 ㅠㅠ ,10
관람객긴장해서 보고 재밋었어요 ! 부모님도 재밋게보심 ,9
관람객스릴넘치는 장면의 연속이었습니다 ,10
관람객뭔가 시즌으로 갈 영화같음 마무리가 그랫음 ,8
졸잼인데 관객수가왜케적어 ㅋㅋㅋ 개잼졸잼 ,10
자꾸 댓글 알바 지 ㄹ ㅏㄹ 하는데 똑바로 보고 댓글 다는건가 ㅋㅋ 영화 안보고 주무셨는지 ?  1초도 딴생각 안하고 재밌게 봤음 기대그이상 ,10
꿀잼. 나 같았음 풀지도 못 했을거다. 지켜보는 입장이라 짜릿해하며 보는거지. ,9
"좋아하는 소재라서 재밌게 봤음, 캡마보다 더 재밌었음 ",8
지루할 틈 없이 초 집중해서 봄 ㅋㅋㅋ 직접적인 잔인한 장면 없이 쫄깃하게 해줘서 좋아요 ,10
"입소문좀 날거같아요 공포,스릴러라는 흥행하기 쉽지 않은 장르라서 150만정도 예상합니다. ",10
영화 재미있음 고어한 것이 안 나와서 더 조음ㅋㅋ ,9
방문열고 자야겠네 수벌 ,10
띠용 재밌구만~ 쏘우 + 큐브라고 그러는데 합친것보다 더 재밌구나 ,10
대박 ..♥....★ ,10
읭 이게 캡틴마블 보다 평점이 낮다고?? 왜???? ,10
재밌는데 왜 지루할까? ,9
"로튼토마토 보고오세요. 그게 진짜평점임. 같이 추리하려 하면 안됨. 지들끼리 문제 뚝딱풀어버림. 캐릭터를 주어진 시간에 묘사하기엔 역량이 부족한 감독, 3명정도 집중하려했지만 실패. 마지막 헝거게임, 메이즈러너 처럼...",2
영화관에서 탈출하고싶었다 ,4
쏘우 큐브 그런영화들 짜집기 한거 같은데 스토리도 없고 감동도 없고 반전도 없고.. 영화보고 나면 뭐지? 어쩌라고? 라는 생각이 드는 영화영화비 아깝다 후속편도 내지마라 ,1
생각 없이 봤다가 빠져들어서 봤어요 시즌물이면 2가 나온다는 건가요? 실제로 다음 시즌을 노린 엔딩으로 끝나긴 했는데 나온다면 저는 볼거에요 ,8
잔인하지고 않고 딱재밌음 7점대는 아니고 8점대 중후반은 된다! ,10
볼만함 ,8
스포일러가 포함된 감상평입니다. 감상평 보기뭐야 기대안하고봐서 그런가 시간가는줄 모르고봤음 스릴있고 캐릭터들을 파악해나가는 재미가 있음. 빠른전개와 잔인하지않아 몰입하기 더 좋았던것같고 조이가 독극물방에서 살아남은건 많이 어거지같긴함 어떻게해서 안죽었는지 보...,8
간만에본 넷플릭스 긴장감 넘치는 방탈출 영화. ,8
근데 소니새끼들이 계속 일본 사상 주입해 넣으려는 꼬락서니가 보여서 별로인 영화. ,6
연출이 문과네스토리는 좋은데 연출이 몰입감을 깬다컵에 무게를 주기 위한게 넘쳐나는데 물만 따르고 있고여기서부터 몰입감은 확 사라진다무식하면 뭘 해도 안 된다 ,4
영화 큐브와 쏘우를 따라한 아류작인데 볼만은 하네요. ,7
굳 방탈출 대리만족 재밌음 ,9
영화가 재미없진 않은데 나사빠진 느낌이 듦 ,6
20여년전에 만든 큐브가 얼마나 잘 만든건지 새삼 다시 깨닫게 해주는구나. ,5
이정도면 그냥 볼만한정도네 ,7
"예전 어렸을때 봤던 탈출영화(이스케이프(?))를 기대하며 봤는데, 실망했습니다. 연기는 대체적으로 평이했으나 중간중간마다 몰입을 깨는 과도한 연기에 '영화'라는 허구에서 벗어나지 못했습니다. 여기에 여...",6
쏘우랑 큐브 짝퉁... ,7
처음부터 끝까지 한 순간도 긴장의 끈을 놓을 수 없음. 영화 끝나고도 심장에 여운이...하..진짜 꼭 봤으면 좋겠다 진짜;..ㅠㅠㅠ아. 그리고 여기 배우/제작진 프로필 올라와 있는 순서. 스포일러니까 보지 말길 ,9
기대않고 봤는데 꿀잼 ㅎㅎ폭력적인 장면없이 스릴있고 좋았음엄빠도 같이 잼나게 봤음. 캐릭터들 개성이 강해서 누가 먼저죽을까 맞추는 재미도 있고 ㅋㅋㅋ 제이슨 몸매 너무 좋음 옷입지마... ,10
아..대박^^ 재밌네요.. 스릴만점~^^* ,9
탈출액션이 의외로 볼 만 했다. ,7
최고의 긴장감 미쳤다ㅎㅎ ,10
어마무시하다 보는내내 쫄깃하게 이입하며 봐서 정말 스릴있었다 나라면 ..  생각하기도 싫다.. ,10
스포일러가 포함된 감상평입니다. 감상평 보기보면서 데보라 앤 월 (아만다)가 이뻐서 아만다만은 살아남기를 계속 빌었는데 ㅠㅠ ,8
1만달러 맞는데 뭔소리지 ,8
2편 어떻게든 만들려고 의지가 보임 ,8
시간낭비‥ 왜봤을까 소잰좋은데 구성이 ,4
