,review,score
97,세상에 여러 종교적 심볼리즘을 한데 모아 조화롭고 소름끼치게 잘 녹여낸 영화 특히나 기독교적 요소들과 불교적 요소들을 평행적이면서도 동시에 서로 맞물리게 표현해내는 부분에서 뒤통수를 얻어맞은 듯했다 참신하게 잘,10
98,영화 이해 못한 애들이 쓰레기라고 까내리네 ㅋㅋ 염소가 왜 울고 소가 왜죽었냐니 염소는 기독교쪽에서 악마로 묘사됨 그것이 태어난 것이 불길한 징조라는걸 오컬트적으로 표현 한거죠 소는 구제역으로 죽었습니다 전개상 그것,10
99,한국영화의 다양성을 위해 이런 소재 사용했다는 것만으로도 점 드립니다,10
100,어디서도 보지 못한 굉장히 톡특하고 새로운 영화지만 너무 엉망진창임 이런류의 영화가 불친절한건 알지만 너무 물음표임 감독이 하고 싶어하는 이야기는 알겠는대 아쉬운 부분이 너무 많음,4
101,소 죽이고 뱀 부리는 부처라니 ㅎ 반전을 노린 떡밥이지만 좀 얼척없다 ㅋ 감독이 부처와 악귀는 언제든 뒤바뀔 수 있다하면 뭐 그런거겠지만 ㅋㅋ 영화끝난뒤에 든 생각임ㅎㅎ 영화는 쫄깃하게 잘 뽑힘,8
102,잼게 보신분들 부럽습니다ㅎㅎ시바하,1
103,방금 보고나왔는데영화 해석 해 주실분요ㅡㅡ,2
104,본인의 이해부족으로 회수 못한 떡밥들 제발 감독탓 좀 그만해라차라리 솔직하게 이 영화를 이해하기엔 본인의역량이 부족하다라고 인정을 해ㅋㅋㅋ,10
105,이 영화 꽤나 수작임 진짜 좋은 영화네 평범 왜 이렇게 낮지 원래 잘났던 감독이 이렇게 발전할 동안 난 뭐했나 메세지도 정말 좋고 그걸 전달하는 장치들과 캐릭터의 완성도 모두 훌륭하다 이건 거의 철학영화임,10
106,간만에 찝찝함과 기분나쁨 의문을 느끼며오컬트 영화 특유의잘 봤습니다 유전 곡성 이런류 좋아하시면 보세요 개인적인 생각으로는 유전 곡성의 순한맛이랄까요 순하지만 호러영화로서의 깊이가 있는 영화였습니다 강추,10
107,사바하를 시작으로 박 목사의 사이비 추적 시리즈가 계속 이어졌으면 좋겠다,10
108,박정민은 언제 유지태 차에 탔는지 아는사람,4
109,신은 존재하는 것인가 종교의 근본을 묻는다,8
110,쓰레기영화 특정종교냐고ㄴㄴ 나도 종교비관론잔데 그냥 그런거다떠나서 내용자체가 이해안가는게 너무많고 재미가너무없음,1
111,초반에는 긴장감에 묘한 분위기에 되게 긴장하면서 봤는데 후반 갈수록 뭔 감동 드라마도 아니고 몇십명 죽인 살인범한테 사연 주지 좀 마세요,4
112,시 조조 로 보고나서 평점 남깁니다저는 별로였는데 친구는 괜찮았다고 하네요갠적으로 호불호가 명확히 갈라질 영화일듯,5
113,딱히 재미의 여부를 말하기 어렵지만 나름 몰입도 있었음 쌍둥이 언니의 정체가,8
114,한국형 오컬트 영화의 새로운 지평을 열었다 이건 할리우드가 돈을 쏟아 부어도 따라할 수 없을걸,10
115,나 진짜 영화봤는데 평점 어바야,4
116,정민이좀 잘되라 이제 뜰때도 됐잖니,10
117,이영화를 보고 몰입감이 떨어진다던지 계연성이 부족하다던지 하는 애들은 백퍼 영화보다 중간에 졸은 애들이다,9
118,진 짜 재미잇게봄 반전에 반전 생각이 많아지는 영화,10
119,평점 낮고 이건 뭐지 라는 평가는 대가리가 텅텅 빈 이해력 딸리는 인간들 매 씬 마다 괜히 나오는 씬은 없다 깊게 관찰하고 생각하면서 봐야하는영화다 방구석에서 막장드라마만 보다가 이런류의 영화 보려니 이해가 안,9
120,띵작인데 대중들 그릇이 작아서 평점이 낮구나 의미를 찾아볼 생각도 안하고 본인이 이해가 안가니까 투덜대는 사람들이 태반이네ㅎㅎ,10
121,딱 첨에 시작했을때만 분위기 조성 좋았고그 뒤부터 이해도 안되면서 개핵노잼 잘뻔했음,1
122,박정민만 볼만하다 뭘하고 싶었던걸까 감독은,4
123,개인적으로 끝까지 긴장을 놓지못하고 본 잘만들어진 영화다,10
124,강원도 배경에 눈 내리는 설산과 음산한 시골마을몰아치는 눈보라 등이 배경음악과 함께 잘 어우러졌고 스크린 밖으로도 느껴질 정도였습니다 검은 사제들은 눈요기 사바하는 메세지입니다 한국영화에 이런 다양한 시도가 많이,7
125,이영화에서 경찰은 딱히 중요한 존재가 아니임ㅋㅋㅋ종교 스릴러에 경찰 추격신을 원하면 당연히 실망하지,10
126,난 이런시도 매우 좋았다구 본다이정재님 연기 참 잘하시구감독님의 이런영화 좋았습니다,10
127,일반인평점이 별로라서 기대안했는데수작이더라역시 전문평론가들 보는눈이 정확하네,10
128,존ㄴ나게재미없어요 시작은 창대하나 끝은 미미하리라,1
129,몰입감 정말 괜찮고초반 스토리 설정 정말 오싹해요근데 뒤로 갈수록 내용이 산으로 가요라이터 줄때 진짜 깨더군요코끼리 죽일때랑이정재의 역할 아무것도 없지 않나요왜나온지 모르겠네요 영화에서,4
130,대존잼ㄷㄷㄷ 아쉬운거도잇지만 재밋는거도많음 ㅅ거염,10
131,감독판 안나오나요 먼가 짤린게 많은거 같은데,10
132,이정도면 훌륭한거 아닌가 오묘하고 기묘하고 다양하고 신비롭고 재미있고 흥미로웠네요,10
133,한국 영화 세대교체 그것이 있으므로 저것이 있다 꽃은 피었으므로 꽃은 진다 시간 이라는 신의 잔인성 앞에 선 인간의 유한성 운명이란 신이 던진 질문에 영화 속 인물들은 그들 각자의 대답을 찾는다,8
134,재밌어요ㅋ 평점이 왜 낫지,10
135,재밌어요 감독 차기작도 기대합니다,10
136,놀래키기만 하는 공포영화들과는 차원이 다른 영화,10
137,긴장감 최고입니다 시나리오에 구멍이많긴한데 돈이아깝진 않습니다,9
138,내가 광구 리얼 인랑 염력을피했는데 사바하를 못피했다,1
139,알고 보면 더 재밋고 의미심장한 영화,10
140,오랜만에 이런 수작을 만나서 기분이 좋을 정도로 갓띵작,10
141,재밌기만 하더만 재미없다는 것들은 본인들 지식 딸리는 걸 생각하셔,8
