review,score
막 별점 1점은 뭐임..? 나 2시간 내내 입틀막하면서 봤는뎅.. 뒤에 있던 남자들도 다 쫄아서 나갔음.. 진짜 1점짜리 영화 절대아니에용 배우들 연기가 진짜 기가막힘 몰입도도 좋고 ,9
8시 35분 조조보고 댓글 남깁니다진짜 중반부부터 소름 돋습니다 너무 무서워요그리고 약간 잔인하고 징그러운  장면이 있으니 주의하고 보세요(전 개인적으로 19금 걸고 더 잔인 했으면 좋았을 것 같네용ㅎ) ,10
한국판 엑소시즘을 다룬 영화중에 기승전결이 확실하고 심리적으로 뒤흔드는 배우들의 연기도 너무너무 볼만했습니다. 올해 끝여름에 나온 영화중에 가장 재밌었어요! 한국판 엑소시즘이나 공포영화를 좋아하신다면 추천해요! ,10
매우 참신하고 긴장감 넘치는 호러 오컬트 스릴러. 특히 가족들로 나온 배우들의 연기가 압권임. 배성우에게도 대표작이 될듯. 강추!!! ,10
"답없는각본, 감독은 참...오바스런 효과음 2시간이 괴로웠다 왜이리 볼륨을 높혔는지  참내..배우들이 아깝다..올해 최악의 영화 ",2
영화내내 긴장해서 어깨 아파죽겟음.. 연기 정말 굿!! ,10
관람객중간에 탈주 할 생각 두 번 했음 ,10
호불호가갈릴영화긴한데 진짜좀만더스토리가탄탄했으면대박인데  확실히 초중반은지렷다 둘째가  첫째한테다가가  죽여버려이때까진 완전몰입이었는데 그뒤엔머냐 멀리서오는차 차사고낼수있는 또라이급악마를 이렇게잡는다고? 애초에그럴거...,8
"얼마전에 본 암전 급은 아녔지만 이 작품도 만만치않은 개연성의 부족이 큰 아쉬움으로 다가왔다. 둘째는 어떻게 되든지 아무도 신경을 안쓰는것 같았고, 백윤식님은 왜 출연시켰는지 모르겠다. 그냥 감독이 어디서 본건 많아...",3
둘째는 가정에서도 왕따인가 무섭기는 개무서웠는데 스토리는 뭔가 막장을 달리네요 개인적으로 검은사제들이 더 나았던것같아요 ,8
관람객성동일 침대씬 눈빛연기....소름돋음 ,10
둘째딸이 제일 불쌍... ,8
진짜 이게 영화냐조올라스토리 전개부터 CG까지하나도 건질게 없다 ,2
1점주기도 아까워요 ㅋㅋ 평점보고 믿고 왔다가 성동일배우까지 점수깍아내리네요 댓글 알바 믿지마세요 진짜 말이 너무 안되요 ㅋㅋㅋㅋ ,1
와 이걸 2시간동안 집중한걸 허무하게만드는 영화.. ,1
진심 인생의 최악의 영화였음.사자보고 나니까 이거 진짜 몰입감 1도 없고 그냥 재미없었음 ,2
개 조잡함....이 영화 볼바에 걍 떡볶이 사드셈... ,1
이건 정말 가치가없다. 이건 진짜 아니였습니다. ,1
광대 평점조작단에 속았었는데 평점까지 변신 시킬줄은 몰랐네 ,2
관람객나쁘지 않았다. 우리나라 공포쪽은 아쉬운게 초~중반까지는 스토리랑 연기력+공포감까지 잘 전달하는데 그 후에 풀어나가는게 너무 밋밋함.. ,7
와 최고  꼭보세요  ㅠㅠㅠ후회안해요 ,10
관람객둘째만 생각나네 ,7
만들다가 감독이 투자자랑 싸워서 뒤집어 엎은 느낌 ,8
내 허비한 주말의 두시간과  돈이 더 공포인 영화 ,2
관람객백윤식은 왜나온건지 의문이듬.. ,8
관람객악마가 가족으로 변신해서 가족하나하나를 의심하게 만드는게 좋았음. 근데 너무 엔딩이 급발진 ,8
댓글 알바하면 얼마받죠? 그리고 차는 왜터진거야? 나 이해가 안돼네? 내돈은? 하… ,1
백윤식님 영어대사 연습 좀 더하셨어야;; 그리고 필리핀부분에서 몰입도가 확 떨어짐.이 부분빼고는 정말 좋았음. 연기는 물론이고 미술부분도 신경많이 쓰신거 같음. 호불호 갈릴수 있고 공포 호러쪽 좋아하시면 돈 안아까움...,8
절대보지마세요 저희 집 앞에 폐가가 더 무서울듯 ,1
와 진짜 너무 무서운거 아냐 ㅠㅜ 중간에 망치들고 확 앉을 때 간떨어졌음. 책임지세요 ,10
평점 처음 달아봄 이런 쓰레기영화 오랜만에 봄 평점보고 알바 많다는거 실감함 90년대 공포영화보다 못함 처음엔 괜찮게 나가다가 둘째딸 지하 장면에서 ? 혼자 왜?? 꿈이 아니라 진짜? 그 이후로 모든것이 ???감독은...,1
이거 네이버평점 개사기임 절대 보려도하지마셈  답없음 ㅋㅋㄹㅇ ,1
분노를 틈타 악마는 인간을 지배한다. ,10
겁이 많아서 너무 무서웠어요. 그래도 재밌어요 ,10
절대절대 다신 이런 종류의 영화도 안볼겁니다 ,1
초반에는 좀 긴장되고 무서울랑 말랑하는듯했는데 중후반부 갈수록 노잼에다가 뻔해지는 스토리... 영화관 가서 볼 영화는 아닌듯.... 걍 티비에서 무료로 틀어주면 보세용 여러분 ,4
"배우님들 연기가 진짜 대박이에요  맨처음에 나온 소녀 연기하신분 진짜 연기 너무 잘하셔서 기억에 계속 남고,,결말이 좀 아쉽지만 그래도 나름 재밌었습니다 무서운거 못보는 사람들은 보지마세요 그냥 무서워요 ",8
나 조감독인데!! 100번 넘게 보고 또 봐도 재밌네!내돈 주고 또 볼줄이야! 장영남 밥상 보다가 지릴뻔! ,10
개연성도 없고 뭐 스토리도없고올해 최악의영화 ,1
제목 변신 말고 벼ㅇ신으로 하면 딱 일듯인생 최악의 영화 어이가 없어서 말문이 막히는 영화 ,1
너무 뻔한 클리셰 덩어리.. ,1
진짜 0점 주고싶다 영화 중간에 나가고싶은적 처음이었고 끝나자말자 사람들 입에서 전부다 똑같은 소리나왔습니다 진짜 보러가지마세요 나만당할순없지 하면서 주변사람들한테 추천하지마시고요 진짜 노잼에다가 무서운거 일도없고 ...,1
근 10년간 본 영화중에 최악.리얼 염력 인랑을 걸렀는데 이걸 못고른게 최대 실수다.. ,1
니코밴 누가안했음?? ,9
외국오컬트영화 흉내에 개연성없는 결말까지하품유발영화였다 ,1
연기력 오짐 ㅠㅜ 몰입햇어요~~검은사제들은 강동원이 쥔공이면 이건 사탄이 쥔공 ㄷ ㄷ ,10
첫 시작 1분만 좋았던 영화 ,1
인생최악의  ㅆ ㄹ ㄱ  영화  이게 15세라니  너무 더럽고  가족을  주제로  찍지말아야  상업영화를  만들었다  토나올꺼  같아서  도중에 나옴  절대  보지마세요  ㅜ ㅜ ,2
최악의 한국영화임!!! ,2
관람객공포영화 잘보는데 초반에 좀 무서웠음 ㅋㅋ 영상도 약간 섬뜩하고 분위기도.. 결말은 별로 ,8
관람객초중만은 진짜 재밌었는데 후반이 아쉽네요 ,8
관람객재미있었는데 뭔가 아쉽네요 ,8
"알바들 더럽게 많네ㅡㅡ 아니면 영화보는 눈이 더럽게 낮은건가? 영화 전개가 할말이 없게 만드는데.... 귀신들린연기만 좋고, 스토리는 영.... 이 좋은 아이디어를 폭삭망가트려버리네.... ",2
관람객둘째는...? 영화는 재미 있었습니다. ,8
제발 보지마세요 .부타드립니다 돈아까워요 ,1
긴장감은 있으나 개연성은 없다. ,5
좋은배우분들치곤 너무나도기대이하였습니다....댓글알바가진짜 잇는거군요 좋은평많아 더확신하고보았는데  영화보고돈아깝다는적은 처음입니다.. 공포영화가아니라 어이없어 실소가나오는영화였습니다 ㅠㅠ 참고로 저는공포물잘못보는데...,2
배우들의 연기는 좋았으나 스토리가 너무 허술합니다.하나만 꼽자면 백윤식배우님이 마닐라에서 한국으로 제자를 도우러 왔는데 구마도 못하고교통사고로 병원신세지는 허무한 스토리를넣을 분량으로 스토리구성을 더 보완했으면 어땠...,1
" 옆집이야기,뱀눈깔, 거즈 붙이고 온 사제, 화덕에 구어져 잊혀진 둘째딸 다 ㅈㄴ웃김. 돈은 벌고싶은데 영혼을 갈아넣긴 싫고. 인터스텔라 만들려고 천체물리학 공부한 놀란 감독 10퍼 만이라도 해봐. 그거랑 같은 돈을...",1
중간중간 허술한 부분이 있지만 너무 무서워서 뛰쳐나오고 싶엇음... ,10
관람객초반 8 중반 9 후반 1점 ,8
대체 뭘 전달하려는 영화인지... 시간과 비용이 아깝다. ,1
아니 평점 무슨 빽이래요? 난 살면서 이 정도로 허접한 영화 진심 처음 봄. 내용 전개 분장 연기 발음 어쩜 하나같이 핵망... 평점도 처음 남겨 봄 어이없어서 충격적임 ,1
최악중에 최악. 감독 은퇴해라. ,1
아니 어떻게 처음부터 끝까지 무서울수있죠?? 이때까지 본 공포영화들은 무서운것도 아니라는..ㅠㅜ ,10
둘째는 왜 안 찾아.... ,8
관람객재미 1도 없어서 너무 돈 아까워요; ,1
관람객기대안하고 봣었는데 볼만했어요엔딩은 조금 허무했음 ,8
관람객초반에 몰입감 쩔었고 후반에 좀 허무한 부분이 많았지만 무섭고 잼 있게 봤습니다 ,8
