,review,score
74,스웨덴은 그냥 무늬일뿐 컬트집단 간접체험 한 느낌 대체 그 기분 좋아지는 차가 뭔지 궁금하다 암튼 모르는 사람이 주는 음료는 마시지 맙시다,9
75,마약 한사발 들이키고 영화 본 기분,10
76,대니에게는 그곳이 안식처가 될까요,9
77,보고나면 기분이 나빠져요,5
78,기대했던 것 이하였습니다 집단광기를 주제로 한 다른 영화의 클리셰적인 요소를 그대로 따르고 있었습니다 주인공 그룹들이 행동이 이해가지 않아 개연성이 부족했던 것 같습니다,6
79,공포보다는 기분나쁜 코미디,2
80,호흡이 길지만 색감이 예뻐서 크게 지루하지 않습니다기괴한 느낌이 좋아요,8
81,내 살다살다 이렇게 드럽고 기분 나쁜 영화는 처음보네요 절대 보지마세요 잔인하고 기이하고 그냥 아주 참,1
82,이영화는 원시신앙의ㅈ같음을 다넣었음 근친난교마약인신공양 그걸 가능케하는 집단가스라이팅집단세뇌 영리한인물들은 인신공양으로 쉽게 죽이고 어리석고 자아도취만을 잘하는 인간들만 모아놓고 그딴게 집단의 안정적인 모,1
83,자연과의 조화를 따르던 고대 인류를 만난 현대인들의 공포를 다룬 느낌이랄까 감독의 쇼트 구성과 밝은 마약같은 이미지의 느낌들이 계속해서 남는 작품,10
84,사람 기분나쁘게 하는데 도가 텄다 앞으로 계속 이런 영화를 내주면 좋겠다 오직 이 감독만 가한 재주,10
85,별로입니다 ,2
86,토할거같고 불쾌해요,4
87,유전만큼은 아니었지만 아리에스터 장르는 퀄리티 척박한 오컬트계의 단비인 것은 확실하다 살짝 테마만 바꿔서 계속 이 주제로 작업해줬으면 좋겠다 음향이나 연출 모두 매력적이고 중간에 관객이 뛰쳐나간 상황도 썩 마음,7
88,서스페리아 급으로 기분 나쁘지만 이게 더 불쾌함 고어틱한건 헬보이에 준한다,7
89,영화 감독 데이비드 린치  나는 이 영화를 분석하려는 생각을 포기하고 보았다 올해 가장 영리한 영화로 뽑고 싶다,8
90,보다가 중간에 나왔습니다 시작부터 늘어지는 전개에 예상 그대로 진행되는 줄거리 그저 기괴한 사운드와 영상만으로 독특함을 추구하려 하지만 불쾌하기만 하고 무섭거나 신선한 느낌은 전혀 안 듭니다,4
91,현장감이 굉장한 영화 드립이 아니라 진짜 마약한 것 같은 영화,8
