,review,score
95,번은 본거같다 반전 진짜 천재적임,10
96,제임스 완 그의 시작,10
97,배우들 연기력 겁나 쩔고 반전에 스릴러에 작살이다 쏘우 최고,10
98,마지막에 이게 뭐지 하면서 그냥 허무했지만 재미는 있었다,9
99,최고의 명작 이 최고였다,10
100,이것두 어릴떄 티비에서 하는거보고 ㅋㅋ 완전 넉놓고 본기억완전 재밌는영화 ,10
101,년만에 다시 보았다  과정과 결말을 이미 알고 있었지만 전개의 스릴과 긴장감 전율이 일어나는 반전 정말 다시 보았지만 최고였다 사실 결말의 반전을 나타내는 복선이 미약하게 있었지만 그런 관객의 상식을 뒷통수,9
102,명불허전 쏘우,10
103,스포일러를 모르고 본 당신이 진정한 승자입니다,7
104,식스섹스급 반전 이라는 수식어가 쏘우로 인해서 나왔어야 됬음 말도안되는 반전 공포그자체,10
105,진짜 명작 이건 다시봐야겠다,10
106,마지막 엔딩 부분은 충격 그 자체,9
107,지금껏봐온반전중최고시리즈중최고이며내가본공포영화중에서도세손가락안에드는수작결말을처음접했을때의충격영화를번은봤지만알고봐도볼때마다전율을느낌긴장감몰입도최고저예산고효율의대표작앞으로도이만큼의제작비로이정도의영,9
108,점대살면서 굳이 안봐도됨점대봐도그만 안봐도그만점대볼만하고 재미가 적당한수준점대추천해줄만한 영화점대스토리연출연기 다 잘갖춘 영화점대스토리연출연기 몰입감까지 시간순삭 강추영화점,7
109,기대하고 봤는데 그저그렇네요 계속 보면서 일단 다리부터 쏴 그생각만 들었던 영화 정말 답답그자체,6
110,범인 어처구니없이 놓치는 장면에서 부터 빨리감기함 다늙은 할아버지도 못잡는 경찰 ㅋㅋ,1
111,입이 안다물어지면 턱 빠진거 아니냐 무슨 이딴 반전 수준이 뭐 이래 그냥 지나가던 고양이가 일어서서 내가 직쏘다 하지 그러냐스토리도 뒤에서 다 갖다붙였을뿐 한개의 영화로 보면  치면서 한문장씩 적어나,1
112,역시 이런 장르는 아무리 잘 만들어도 평이 낮군여자들이 잘 안봐서 그런가,10
113,이 영화 처음봤을때를 잊지못함 반전에 소름이 ㄷㄷ,10
114,어릴땐 그냥 자극적인 영화였는데 나이들고 보닌깐 띵작이었음 ㄷㄷㄷ,10
115,제대로 본건 오늘이 처음이네요 반전내용은 다 알고봤지만 역시 제임스완이라는 말이 절로 나옵니다 년에 나온 영화라면 거의 희대의 명작아닐까요,10
116,쏘우는 최고의 공포 스릴러 영화지 제임스 완 영화를 그이후 계속 주목하게된 계기,10
117,열린 눈과 귀를 가지고 모든 단서를 보아도 감독의 손 위에서 상상력이 조각난다 쏘우탄은 그저 겨우 그 첫 관문일 뿐 공포영화계의 쑈크,8
118,이만한 영화가 없거늘 평점이 너무 낮아서 점 줌 적어도 점은 나와야할 영화임,10
119,포스터에 써있는말 당신의 상상력이 조각난다 다보고나면 저말이 과언이 아님을 알게된다 추리소설에 애크로이드 살인사건이 그러하듯이 사고의 맹점을 아주 제대로 찌르는 멋진 반전 당시에 누가 이 결말,10
120,와우 긴장감 최고입니다,10
121,역시 이 최고,9
122,초 때인가 한참어렸을때 이거보다가 너무무서워서 잠도제대로 못잤던 영화,10
123,정말 아직도 그냥 충격이다,9
124,반전 말하지마 들앙,8
125,마지막 반전은 정말 압권이었다,9
126,진짜 마지막 소름 개쩔었다,10
127,우왕 ㅋㅋㅋ 완전 대단해요 반전,10
128,공포와 반전을 모두 느끼고 싶다면 이 영화를 보시라,10
129,전무후무한 명작이다,10
130,완벽한 점 짜리 영화입니다 ,10
131,마치 비디오게임을 연상시키는 스토리 전개방식 허를 찌르는 반전 완벽하다,10
132,이 영화를 제작한 모든 사람에게 박수를,10
133,최고의 반전 스릴러음 그냥 최고라는 말 밖에 안나온다두 명이 묶여있는 밀실 안에서 우리는 지금 살고있는 것이얼마나 소중한 건지 모른다스릴러를 통해서 이러한 메시지를 보게 될 줄이야멋진 영화다끝까지 의심,9
134,아 진짜 이거 첨 봤을 때는 진짜 최고의 반전이었다 도 예상 못했음 ㅡㅡ,9
135,장르적인 재미와 반전 긴장감 조성까지 모두 훌륭하다,8
136,예전 이 영화 정보 아무것도 모른 상태에서 영화관에서 보게 됐었는데 정말 잊을수가 없는 영화가 됐다,10
137,그래도 까지는 괜찮았던것 같은데이게 무려 년도 영화임,10
138,영화 보는 내내 긴장감이 그냥 특히나 결말은 쇼킹 그자체,8
139,만점짜리 영화,10
140,진짜 이 감독 천재인듯 ㅈㄹ잼씀 ㅠㅠㅠㅠㅠ,10
141,완전 닭살 돋았다,10
142,게임의 시작,8
143,도박같은 반전이 제대로 먹혀들었다,8
144,스릴러 영화라 그런지 긴장감 있게 잘 봤지만 또 보기는 꺼려진다,9
145,직쏘라는 겁나게 끈질긴 늙은 악당의 시작,8
146,쏘우라는 영화를 알린 놀라운 반전의 미학,8
147,년때 봤었으면 최고의 반전영화 하지만 망할 할아버지를알아버려가지고,8
148,진짜명작은비디오빌려봐도감동이다 이것도 극장서보면 좀낫겠지,3
149,미쿡 공권력을 무시하네요 답답하게 두번이나 하네 어리버리형사 둘 용의자한테 총도 못 사고 의사 부인도 그렇고 미쿡에서는 꼭 바로 총을 쏘고 시작해라,2
150,유즈얼서스펙트에서의 억울함을 이 영화로 풀었지 스포하는 세기들 진짜 다 처 죽여야함,10
151,쏘우시리즈의시작 말이필요한가,9
152,아직도 반전이 잊혀지지 않아요,10
153,반전을 알고봐도 개꿀잼,10
154,이 영화는 다시 봐도 꿀잼,10
155,영화초반부터 후반에 다다를수록 방에 갇힌 두 남자의 정서변화도 한 묘미라고 생각함 이성이 주객전도되는 흐름은 영화의 또 다른 장치가 아니었을까,10
156,반전영화의 교과서같은 쏘우,8
157,볼만합니다  점은 넘지않나,9
158,쏘우는 이거 한편이 끝임뒤에껀 볼 필요없음,10
159,반전 하나를 위해 보는 영화긴한데 의외로 흥미진진하게 스토리를 이끌어나감 다만 아쉬운건 마지막 반전에 대한 복선이 너무 없음 다시볼때 유주얼 서스펙트처럼 와아 저  하는게 없음,8
160,이런 영화는 이제 안나올거다,10
161,아담과 고든이 서로 머리 맞대고 얘기할때 너무 슬펐음,10
162,와 대박이다 그냥 잔인하기만 한 영화인줄 알았는데 마지막 반전,10
163,편은 초띵작이다 ㄹㅇ,10
164,흠 이상하게 왜 스릴이 별로 안느껴질까 뭔가 약간 진부한느낌,6
165,볼만은 한데 추천은 하고 싶지 않은 영화 그냥 그럭저럭 볼만한 정도,7
166,초중반에 계속 흐름이 끊겨서 몰입이 안됨,6
167,쏘우 후로는 무슨 그냥 급 잔인한 영화로 전락함,10
168,년만에 다시봤네요 내용을 다 알고 봤지만서도 그 긴장감이란특히 마지막에 게임오버라 외치고 리 워넬이 소리 지를땐 다시한번 충격적인 장면입니다,10
169,다좋았는데 리뷰에서 스포를 당했어 이런 ㅅ,9
170,저예산으로 잘 만들었다 후속작들이 가면서 쓰레기,9
171,허를 찌르는 강력한 반전과 긴장감이 훌륭한 시리즈물,10
172,몇년전 나에게 반전에 처음으로 흥미를 처음준 영화이 반전이 별로 였다는 사람은 범인에 대해 심각하게 생각하면서 영화를 보지않았다고 생각,10
