,review,score
160,아나대박무서운데반전이좀ㅋㅋㅋㅋㅋ끝까지못봐서아쉽ㅠㅠ,8
161,셔터만큼의 뭔가를 기대해서였을까 셔터보다 한참 아래다,4
162,저질영화 깜짝 놀래키려는데 별로 놀라지도 않는 영화,1
163,괜찮은 공포영화 하지만 어느정도 예측햇던 반전,9
164,생각보다 별루,5
165,너무 무서웠어여ㅠ,10
166,재료를 많이 첨가함에도 불구하고싱거운 섞어찌개 같은 느낌볼만은허다,7
167,보고 대폭소 특히 핌과 위의 레슬링 장면에서 감탄 코믹이다,7
168,가슴을 두들기나 예고편에 너무 많은 걸 담았다,5
169,처음 거울과 백사장의 발자국 어깨의손을 보고 설마했는데 볼만한 영화,9
170,생소한느낌이호기심을자극하며억지스러운공포보다는어느정도스토리에 충실하다는점,7
171,영화재미없게하는법플로이가 핌인척한다,10
172,영화 보면서 여자친구와 내기했는데 반전 덕에 이겼음우하하하,10
173,좀지루한감이 없자나 있지만 나름 내용두 있고 반전두 있고,7
174,오오오 좋아ㅋㅋㅋㅋㅋㅋ,9
175,왠만해선 로그인안하는데 로그인하게만드네 보지마세요 아나짱나,1
176,셔터때는 정말 좋았는데,4
177,처음부분만큼만 계속 이어졌더라면 좋았을것을,6
178,무서웠긴 무서웠지만 반전 같은거 별로,7
179,오반전여주인공 이뻐서 점 더 줬다ㅎㅎ,6
180,태국 호러는 가져오는데 값이 싼가보다 자꾸 사오는거보면,2
181,괜찮았다반전도 좋구,10
182,괜찮았삼 ㄷㄷㄷ,8
183,무서버 ㄷㄷㄷ,8
184,기대만큼 아니네 재미없다더니 공포영화 치고는 그닥,2
185,가슴은 두들기나 예고편에 너무 많은 걸 담았다,5
186,남자 땜시,5
187,중간중간에 놀라는 장면도 있고그런데로 볼만하다,7
188,반전은 어느정도 예상할만 하고 중간중간에 놀라는 부분이 몇개있을뿐,6
189,역시 깜짝 놀래는장면도 많았지만 마지막에 억지스러운 이야기,6
190,전설의 고향 반전하고 차이점이 머냐 공포도 재미도 없긴 매한가지,4
191,깜짝깜짝놀라는건 있음,6
192,태국 공포영화는 참 볼만한것같음,7
193,나  보면서 잤어,1
194,무서운것도없고 내용도없고 눈깜짝할새끝나는 무식한영화,1
195,초반 한국말에 당황 거울 욕조 두번 깜짝 끝,3
196,중반에 반전한번 터트린이후로 싸이코스릴러로 바뀌는 영화 참 어의없다,2
197,생각보다별로공포물을 집에서봐서 그런가무섭긴한데 지루한면이 있다,5
198,단 한번도 움찔하지 않았고 스릴도 없는 영화,1
199,뭐랄까 뻔한 장면에 뻔한 내용 약간 사이코틱한 보고나서 슬프긴하더라,5
200,드물게 잼있는 공포,10
201,왠만한 한국 공포 영화보단 낫다 태국 공포영화 급호감,8
202,이것도 영화임,1
203,셔터를 너무 재밌게 봐서 기대했지만 그 이하였어요,7
204,이딴 쓰래기영화는 내 생에 첨입니다,1
205,약간의 반전 나름 괜찮았다,7
206,윽스토리가 뻔하넹 보다보니 결말이 보이는영화네쩝,3
207,그냥저냥 반전,6
208,반전은 최고였지만 공포는 부족했다,5
209,그리 무서운건 아니었지만 공포영화치곤 스토리가 좋았다,7
210,그냥 볼만했음ㅋ스토리는 좋은데 공포가 넘 부족,7
211,여자발음 ㅋㅋ 강아지 한테 락끼락끼 이것땜에 감정몰입 안됨,6
212,무서워혀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9
213,공포영화가 오싹하다는걸 느끼게 해 준,9
214,그냥 깜짝깜짝 놀래키는 영화 반전은 너무식상해,3
215,끝에주온필만아니었더라두,6
216,반전은 놀랐지만 흠 ,4
217,흠 반전 괜차낫슴,5
218,스토리는 있으나 공포를 살리지는 못했다,6
219,진짜 이걸 공포라고 만들었냐,1
220,공포영화 보다끄긴 처음이다,2
221,디비디로도 보기 아까운영화 잠온다,4
222,보지마세요 ㅋㅋ 잼없어여 ㅎ,5
223,밤에 작은방에서 불꺼놓고 혼자봤는데 스릴있고 재밌다,10
224,한국에 대한 시각을 좋게 바라봐주는 고마운 영화,9
225,새로운반전,8
226,오늘 퇴근후에 비디오로 봤는데요 덜무서워보였어요ㅋㅋ,6
227,원초적으로 쉴틈없이 놀래킨다약간은 어설픈거 까지 재밌다ㅎㅎ,8
228,태국영화의 공통점은 아직 특수효과가 부족하다는,6
229,사람마다 차이가있겠지만 별로였음 쓰래기는 아니지만 ㅋ,5
230,먼저 개봉한 전설의 고향에서 써먹은 반전에 웃긴 클라이막스 씬,3
231,깜짝깜짝 놀란다 ㅜ,8
232,재미만 있음  한국영화 이걸로 좀 배우길 바람,9
233,진짜 귀신나오는 장면이 뻔하다ㅡㅡ,2
234,이건 뭐,2
235,우리나라 일본 공포영화보다 훨씬 나은거 같다감탄이다,10
236,뻔한반전그래도 한국호러 영화보단 수준이있다,6
237,사령보다는 못하지만 재밌다 역시 공포영화 대세는 태국 ,8
238,초딩정도의수준이있다면반전은껌이건뭐짱나서로긴함,1
239,너무 기대했나소문과는 다르게 그다지 썩,7
240,한국에서 붙인 제목으로 영화대부분의 재미가 반감된데다가 딱히 매력이,6
241,상당히 지루함 ㅡㅡ,2
242,이렇게안무서운공포영화처음스토리별로귀신같은게있는거같긴한데넘빨라보이지도않음,1
243,소재와 스토리는 탄탄 반전도 좋고 하지만뭔가 매끄럽지 못하다,4
