review,score
영화자체는 별로안무서운데 아 귀신년 면상 꿈에나올까봐 무섭다 ㅋㅋㅋ ,1
진짜 잔인한 장면 없이 무섭다 ;; ㄷㄷ...진짜 이렇게 심장 터질 뻔 한 영화는 처음인듯.. 내 옆에 애들이 막 울었음... ;;; 또 보러 갈 것 같음 추천이요!!!! 진짜 무서운 영화 보고 싶으신 분들은 이거 ...,10
깜짝깜짝 놀래키는게 공포라고 생각하면 10점주겠지만내용도뻔하고 지루하다.돈아까움. ,1
작은소리에도예민해지게되는지입니다 쉴틈없이 긴장감대박입니다 ,10
나평점알바 아니다 진짜재밌다 방금보고왔다 진짜 꼭봐라대박이다 진지하다 형 공포영화보다가 놀란적없다 이건진짜다 진짜 레알 꼭봐라 ,10
무서운 장면 대놓고 나오는데 안나온다고 희대의 구라를 깠던 영화 이게 무서운 장면 없으면 링이라던지 주온이라던지 무서운 장면 하나도 안나오겠네? 너무 허위광고적인 희대의 사기영화 ㅋㅋ ,1
6점 주고 싶은 영화. 솔직히 엑소시스트랑 그 파라노말 액티비티 짜깁기 한 영화같은데 뭐가 그렇게 새로운 공포영화라는지 전혀 이해가 안된다. 차라리 인시디어스가 좀더 독창적이고 긴장의 끊을 놓지 못하게 만든다. ,1
평점이 너무높다 이게 무섭냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,1
그냥 깜짝깜짝 놀라게 하면서 사람 짜증나게 하는것 말고는 뻔한내용에 허탈한 끝마무리... 이런 쓰레기영화가 8점이나 된다는게 가장 큰 공포 ,1
무서운 장면 없다더니 귀신분장 쩌네요. 파라노말은 진짜 무서운 장면 없이 소름돋았었는데 컨저링은 그냥 귀신 몇번 나와주고 깜짝깜짝 놀래키고 끝나는 영화;; ,1
"공포영화 입문자들에게 좋을듯. 이거저거 다 본사람들은 ""이게모야?""하면서 나올 것이 분명함. 하도 짜깁기에 결말도 오글터지는 전형적 헐리우드 스타일. 손뼉씬 하나 건지고 왔다 ㅋ ",1
이거보고 잠못자는사람 이해안됨 ,1
애나벨2 개봉땜에 다시 봤는데 정말 잘 만든 공포영화임 타이밍이 기가 막힘 안무섭다는 사람은 불 다끄고 소리 크게하고 혼자보고 나서 안무섭다라 해라 ,7
공포영화중에 수작 말이 필요없음 ,10
흠..너무 기대하고 보진 마세요. 제가 공포 스릴러 호러 영화는 비급까지 찾아보는 사람인데 그냥 별다른 감흥 없네요.. 파라노말 액티비티+액소시스트 섞은 정도의 느낌의 영화. ,7
각자의 호불호가 갈릴듯. 파라노말류를 많이 본 사람들에겐 그냥 저냥일지도..이 영화를 볼 땐 이 내용들이 실화라는걸 잊지 말아야 함. 근데 감독은 인형 참 좋아하는듯. ,8
왠만하면 무서운영화보고 무섭다느낀적없는데진짜 영화관에서보다가 울뻔했다...이건진짜영화관에서봐야한다ㅋㅋㅋㅋ ,10
무서운데 재밌다..마치엄청매운데 맛있는 음식을 먹는듯한.. ,9
단언컨데 여태까지 본 공포영화중 가장 무서웟다 난 공포물 즐기는 남자인데도 이건 최고임 ,10
무섭기도. 무섭고쫄깃. 여주인공 엑소시즘 걸릴때 연기란 짱끕 ,8
보는내내 긴장하며 봄ㅋㅋㅋㅋ공포영화 치고 잘만든거 같다 ㅋㅋ ,10
와.......... ,10
혼자보면 정신나감귀저기 하나챙겨가세요 ,10
공포를 느끼기엔 딱 좋은 영화 ,7
흠.. ,10
"전작 인시디어스와 궤를 같이 하는 초현실주의 인도어 호러물. 비주얼은 전작에 비해 다소 투박해진 감이 있으나, 공포의 무게감은 더욱 묵직해졌다. 보다 세련되어진 카메라 워킹과 적재적소에 배치된 이벤트들이 매끄럽게 하...",8
"거짓말 안보태고 오멘의 6배 무섭습니다. 쏘우? 어린애 장난이지여 그건 애교일뿐. 이영화는 ""도대체 저어린것들을 데리고 아무리 영화래도 이런걸 만들수가 있는가 ?""싶을 정도... 2시간 동안 31도의 ...",10
