,review,score
106,사람들이 하도 무섭다길래 에이 얼마나 무섭겠어하고 봤는데 이건 진짜 말이 안나오더라 손발에 식은땀나고 영화 끝나고도 계속 생각나서 밤에 잠을 잘못잠 내인생최고로 무서운 영화는 셔터고 스토리 포함한 공포영화 최고,10
107,이걸 영화관에서 봤어야했는데,8
108,하 영화 더럽네 주온보다 더 더러운영화는 오랜만이다,8
109,스스로 영화 좀 봤다고 생각하는사람인데 이 영화 상다히 수작이다,9
110,상투적인 스토리지만 연출은 기가막힘,9
111,나중에 귀신을 응원하게 되는 영화명대사는 화장실에서 끝나고 하자,8
112,귀신자체만으로도 주온을능가하는 영화지 ㅇㅇ,10
113,짱 무서워여염,10
114,무섭다ㅠㅠ,10
115,태국공포영화셔터셔터태국공포영화 아놔 이거 최강입니다공포영화 하면 이건 무조건 봐양함 개 쩔어 개 무서움,10
116,소리 막 지르면서 봤어요 심장 떨리네용,8
117,고딩때봤는데 보다 책상발로참 개무섭,10
118,공포영화 평점 공통적인 특징 안무서운데이게 뭐가 무서움 지겨운데ㅋㅋ 꼭 뭐만하면 뽐내기 좋아하는 찌질이들 살면서 제일잘한게 공포영화보고 안무서운거라서 꼭 모든사람들에게 난 안무섭다고 말해야됨ㅋㅋ,10
119,역대급 공포입니다와,10
120,학교에서 보고 죽을뻔ㅠㅠ,10
121,태어나서 유일하게 무섭게 본 영화짱,10
122,무서워 짜증나ㅜㅜ 무섭다고 무서위,10
123,무서운 영화 좋아하는 사람은 무난하게 즐길 수 있겠다 개인적으로 컨저링보다 낫다,7
124,유일하게 공포를 느낀 공포영화,9
125,이 영화가 무서운 이유는 귀신 역을 맡은 배우의 분장이 너무 무서움 진짜 귀신 얼굴 하나로 먹고 들어가는 영화,10
126,안무서움 그니깐 안본사람들도 꼭보고 지려라,10
127,공포영화는 불 켜놓고 친구들하고 오손도손 마주앉아 나불대며 보고 안무섭네 어쩌네 까부는거 아닙니다,9
128,공포영화중 손에 꼽음 사다리씬은 년이 지나도 잊히질않더라,10
129,고때 개봉해서 비디오로 본영화인데 지금와서봐도 태국역사상 가장 최고의 명작 공포영화라고생각한다 스토리완벽 공포완벽 태국최고의 공포영화,10
130,평소에 공포영화 즐겨보는데 이건 소름돋네요 뭐 이딴식으로 무섭고 ㅈㄹ이야 십앵 진짜,9
131,개인적으로 공포영화 투탑은 주온이랑 셔터 입니다 간만에 생각나서 다시 봤는데 무서워서 마구마구 넘기면서 봤어요 ㅜ 하 이시간에 왜 봤을까 차 달리던 씬과 목마씬은 알고도 긴장되고 또 무서웠어요 ㅜ,10
132,이 영화의 장면들은 아직도 머리속에서 생생히 기억남 이게 진짜 공포 영화다,10
133,조낸무서움 암실 계단 사다리 ㄷㄷ,10
134,더 웹툰예고살인 보기 전에봤던 영환데 상당히 괜찮았음 본래 점을 줄려했으나 핸드폰에 가 안눌러져서 그냥 점,10
135,올 ㅋ 굿,9
136,공포영화만 편 본 사람입니다 제가 볼 만하다면 진짜 볼 만한 겁니다 이 영화 볼 만합니다 리뷰 보지 마시고 밤에 불끄고 그냥 보세요,7
137,개무서워 목 나가는줄알았네 ,10
138,탄 밖에 생각이 안난다,2
139,아직까지 이보다 무서운 동양스타일의 공포영화를 본적이 없다,10
140,공포는 이런게 공포지 미국공포물은 공포도 아,10
141,이게 몇년이 지난 영화인데 그때 당시엔 진짜 충격적으로 무서운 영화였다,10
142,동남아 최고 공포영화 그 다음 작품인 샴도 봤지만 셔터가 최고인 듯 합니다,10
143,정말 무서운 영화입니다 엄청난 연출과 소름돋는 배우들의 연기력 두 눈 똑바로 뜨고 보기엔 너무 무서워서 영화 보는 내내 실눈 상태를 유지하고 말았네요 ㅠ 날씨가 더워지고 있는 요즈음 영화 셔터,10
144,영화 말고도 살면서 겪어본 모든 것들중에 가장 무서움,10
145,현재까지 본 공포영화중 가장 무서운 공포영화,10
146,젤 무섭게 본 영화가 디아이랑 셔터공포는 태국영화지,10
147,그 사람을 사랑했던 안했던 성폭행을 방관하는건 아니지않나ㅋㅋ 보는내내 무서우면서도 화가났던 영화 입막음용으로 사진좀 찍어줘니가 찍는순간 니도 공범임 나 니친구야 그렇게,10
148,년 처음 보고 벌써 년이 지났는데아직도 나에게 가장 무서웠던 영화 탑임 ㅜㅜ가끔 자기전에 생각나서 무서움 ㅠㅠ내 기억에서 잊어져줘라 제발,10
149,다시봐도 무서워 ㅠㅠ,10
150,내 생애 가장 무서운영화ㄷㄷ,10
151,ㅅㅂ욕나온다 존나 무서워서,10
152,아시아권 공포 영화중 단연 으뜸인듯 제일 무서웠던 작품,8
153,애들 장난쯤의 공포인 줄 알았지만 오산이었다,8
154,호러영화중 손가락 안에들정도로 공포스러움 이게 평점이 왜 이렇지 이해불가,10
155,철사다리타고 올라오는 귀신을 아직도 잊을 수 없다,10
156,평점이 점대라니 말도 안돼,10
157,무섭다길래 궁금해서 봤다가 부엉이가 돼버렸습니다 후유증이 한달 가는거 같은데 치료법있나요,10
158,스토리 무시하고 무서운 영화 찾으면 이게 정답 엄청 비주얼이 무서워요 기승전 그냥 무서워요 완성도와 시나리오도 중요시 하는분이라면 글쎄,6
159,갠적으로 한국공포영화 알포인트와 함께 내생애 공포영화 투탑,10
160,지금까지본 공포영화중 탑안에 포함,10
161,아직도 난 이 영화 결말을 모름,10
162,제일ㅄ같은부심 술부심 취했냐 취했네 ㅋㅋ 난 괜찮은데 매운거부심 야 이게 뭐가 맵냐 하나도 안 맵구만 ㅋㅋ 공포부심 무섭긴 뭐가 무섭냐 ㅋㅋㅋ 난 웃긴데,10
163,살때 봐서 그런가 아직도 무섭내,9
164,무서운건 잘 모르겠지만 너무 억지스러운 공포영화가 많아서 이정도면 괜찮은 편인것 같음 그리고 주인공 잡놈은 동정해줄 가치가 없는데 여자친구가 불쌍하다,7
165,내가 본 공포영화 중 무서움으로 치자면 딴영화 개쳐바를 영화 기대안하고봐서 더무서웠던 영화,9
166,킬링타임용으로 적합 귀신이 나오는 장면은 뻔하지만 소리와 비주얼 때문에 알고도 놀란다 ㅋㅋ 처녀귀신물에서 셔터만큼 독보적인 영화도 드물다,7
167,마지막 장면과 반전이 제일 기억에 남음,7
168,무서움걍 앗,10
169,ㅈㄴ무섭다ㅋㅋㅋ 지금까지 본 공포영화중에서 젤무서운듯,10
170,방 알바할때 여자분이 무서운 공포영화 추천해달라해서 이거 틀어줬다가 분만에 무섭다고 다 뛰쳐놔와서 결국 멜로영화로 바꿔줬던 기억이 나네요ㄷㄷ,10
171,공포영화중 가장 무섭게 봤음,10
172,어째 동남아 영화가 더 무섭냐,6
173,사다리 장면과 마지막 장면은 진짜 인상깊었지,10
174,중때 학교에서 도덕쌤이 보여줫는데 여러명이 울엇다,10
175,평점 왜 이러징 ㅠㅠ원래 인터넷 댓글도 잘 안쓰는데 이건 점을 주기 위해 글을 쓴다,10
176,벌써 이 영화 본지 년 정도 됀거 같은데 다시 보기 고민되는 영화 내용은 구체적으로 생각 안나도 그 느낌이으으,9
177,와 진짜 무서운 영화다 요즘 공포영화랑은 급이 다르네,8
178,명성에 비해 부족한 공포,7
179,당신은 영원히 날 떠나지못하지 내 원한이 풀릴때까지 말이야,8
180,역대 최고의 공포영화  안에 들어갑니다,10
181,아우 영화관에서 봤으면 쌌을듯,10
182,이거 수학여행가서 봤었는데 갑자기 창문커튼에 소리나서 펜션 층에 내려왔던 기억이,8
183,이영화를 총 두번 봤는데 또 보기가 두려운 영화는 처음이다,10
184,갠적으로 주온 오리지널이고 나발이고 셔터가 공포영화 원탑임 무엇보다 아직도 귀신얼굴이 안잊혀진다 본지가 년이 다되가는데 진짜 별 공포영화 다봤는데 귀신 젤 무서운게 위 셔터  위 기담 ㅋㅋㅋ,10
185,태어나서제일무섭게본영화,10
186,안무섭다는 사람 쎈척하지말라고 개무서운데 왜 구지여기서 쎈척하냐고했던사람 리뷰보고 기대하고봤는데깜짝깜짝만 많지 대체 뭐가 무섭다는건지모르겠음 너무 뻔하고뻔하고 결말도 그냥 그렇고그냥 애나벨이나 컨저링 한번 더 ,1
187,별점 테러범 허세충 쎈척충들 존나 많네,9
188,난 곡성도 무서웟는데 내인생 젤무서웟던 셔터와 곡성이 만난다니 랑종 겁나 무섭지만 또 궁금해서 보고싶눼,10
189,이거 중딩때 봤었는데 그 마지막 젤 소름이였죠,10
190,년 인생 이거보다 무서운 영화 본적이 없음,10
