review,score
아니 아 영화에서 왜 자꾸 귀신이 아닌 악마가 나와 이러는 사람 있는데 이 영화는 오컬트 무비 잖아;; 오컬트 무비가 뭔지 모르나... 엑소시스트 같은 영화라고 ,10
일점도 아깝다 그냥 쓰레기 ,1
컨저링시리즈 마니아라서 보러갔는데 이번 시리즈가 제일 별로네요; 무섭지도 않고 내용도 별로 없어서 돈 버린 느낌이랄까.. 실망이큽니다. ,1
와 미친 내가 본 영화중에 제일재미없다 진짜러닝타임 호구에 영화 보고 허무함밖에 남은게 없네평점 좋게준사람들 없애고싶다 진심영화 보는눈 별로 안좋아서 대부분 재밌게봤는데 이건 진짜 아니다 돈낭비 ,1
"소리만 크고 시끄럽다. 개연성 따윈 없고, 시나리오 진짜 허술하다. 돈아까워 죽는 줄 알았네. 내용이 뜬금포의 연속, 전설의 고향 다운받아 보는게 더 무섭겠다. 컨저링 기대하고 보면 절대 안됨. ",1
진짜 알바풀었나;;이런거 진짜 댓글 안다는데 방금 보고왔는데 보는 내내 지루하고 몸이 빌빌 꼬이고 잘까 생각들고 뭐지 이거 싶었는데 감독이 제임스완이 아니었어 어쩐지....진심 9천원 환불받고 싶은 심정. ,1
무섭긴 뭐가 무서워 ㅡㅡ 욕나오네컨저링이 훨나음 마지막 개허무 리뷰 믿을게 못됨 ,1
영화 자체는 컨저링 이상이라고 보기엔 좀 그렇구요~ 그래도 최근에 본 공포영화중에서는 가장 무섭다면 무서웠던 것 같아요 ,9
진짜 진심으로 노잼입니다 진심입니다 컨저링이 10배 더 무섭구요 진짜 노잼입니다 ,1
저기요 ㅋ 10점주고 무섭다이런말하지마세요^^ 제가 마마 컨저링 인시디어스 1 2 오큘러스 등등 공포만 보는데여 하 애나벨이거는 ㅋㅋㅋ돈아깝습니다 하나도안무섭고 전개 답없고 마지막엔자살로끝 이게말이됩니까 ?10점 알...,1
관람객존나노잼...놀라지도않음. 인형만 징그럽게 만들어놓고ㅋㅋㅋㅋ스토리는 영 꽝 ,1
나혼자죽긴싫다. 최고로 무섭습니다 ,10
개무서움!!! ㅋㅋㅋ ㅠㅠ컨저링만큼 깜짝 놀라는 부분이 많아서 긴장을 놓을 수 없어요ㅠㅠ ,10
페레즈 신부가 애나벨 인형 안고 교회들어가려는 찰나 튕겨 나가는게 제일 섬뜩하던데? ,8
처음부터 끝까지  무서웠고 정말 재미있었습니다. 마지막에는 조금 급하게 마무리된 느낌이네요..할머니만 불쌍해요..ㅜ ,10
공포영화 최근에 본것들 중에선 단연 최고였다 ,9
방금 보고 나왔는데 그냥 사탄의 인형이에요.관객들이 궁금해 하는 내용은 하나도 안 다뤘어요.다들 나오는데  실망했다는 이야기들뿐 ,1
스토리도없고 지루했어요 ,1
솔찍히 무서운거 잘보는 편은 아니거든..? 근데 인형이 무섭게 생기고 효과음때문에 놀라긴 했는데 그리 무서운건 아닌듯? 왜 베스트댓글보면 다 지린듯하냐? 나왜 알바로 보이니 저것들..? ,10
흠 뭐랄까 10세미만 애들이 보면 무서울지도 ,1
솔직히 이정도면 공포영화치고 잘만든 영화가 아닐까 싶다 ,9
심장 쫄깃한 공포를 보여주리라 믿는다 ㅋ ,10
0이라는 점수가 잇다면 주고싶네요 ,1
컨저링 기대하시면 100% 실망합니다. ,1
이 영화 평점 알바쓴건가요..? 너무 재미없어서 정말 돈주고보기 아까울정도.. 스토리도 탄탄하지못하고.. 같이본 친구들도 모두 실망.. ,1
킨저링은 9점. 에나벨은 1점. 놀래키는 장면 4번정도 그이후에는 지루하고 하품나고 시간때우기 전개. ,1
내살다살다 이렇게 쓰레기 같은 영화는 처음임...작품성 제로에 겁주는 수준??컨저링 발끝도 못따라옴 ,1
초반 부터 제봉틀 바늘에 언제 찔릴까 언제 찔릴까 불안 불안 했는데 ㅠㅜ 진짜 오지게 쪼네 ,7
연기 어색..저예산같음 그리고 뭐 신이 희생을 중시하고 어쩌고 ㅋㅋㅋ어이가엄네 ,1
애나멜 인형... 실제로 존재한다는게 더 무서워 -_- ,9
"관람객기대이하. 공포영화 매니아 로써 무서움을 느끼지 못함, ",1
컨저링 보다는 압박감이 덜 느껴지지만 놀래키는건 컨저링 이상인듯.. ,8
관람객컨저링도보고 이번 에나벨도봤어욤 숨이 턱턱막히네요.... ,9
관람객별로 무섭지도않고 스토리가별로네요반전도없고 재미없음 ,1
관람객컨저링을 안 보고 봐도 이해가 되는 스토리. 마지막에 흑인 아주머니 희생은 좀 과했긴 한데 그래도 그 아줌마가 좀 불쌍하더라 자기는 딸도 잃고 목숨도 잃고 뭔 짓거리야... ,8
그냥 처음부터 긴장감있게무섭다가 무섭게끝남 결말이너무 허무해 ,6
애나벨 인형 덕분에 한동안 인형을 쳐다도 안볼것 같다 ,10
공포강도는진짜대박이었는데스토리는좀많이아쉬웠던거같아용....그래도굿굿 ,9
와 소름이 얼굴까지 끼치는영화 ,10
컨저링이상!! 보면서 몇번이나 움찔 거렸는지 모르겠네요 ,9
한순간도 긴장의 끈을 놓칠 수 없더라구요 쭈그려서 눈 가리면서 봣어여... ,8
방금 티비에서 해주는 거 보고왔는데 와.. 공포영화 보고 이렇게 안 무서웠던 건 처음이다; 웬만한 공포영화는 나름 무섭다고 느끼면서 봐왔는데 이건 ㄹㅇ 답이없어... ,1
공포영화는 호불호가 너무갈려서 문제인듯; 내가 생각하기에는 꽤나 무서웠던 것 같은데 ,10
올해 나온 공포영화중에서는 가장 무섭지 않나요? ,9
"전체적인 분위기를 이끌고 가는 것은 정말 끝판왕 다만 , 마무리가 미흡한게 흠  올해 개봉한 공포/스릴러중 단연 최고! ",9
오늘 볼라했는데 비까지오네 ㅋㅋ최적의 환경이군 ㅋㅋ ,10
컨저링 정도의 완성도는 아니지만 공포영화 팬이라면 추천. ,8
망작. 전혀 안무서움. 공포영화 치고는 내내 밝은 화면에서 진행되는데다 나오는 악령도 저렴하고 이상한 스토리에 연출마저도 구림. 보는 내내 돈이 없나? 감독이 초짠가? 이런 생각만 함.  검은 화면에 빨간 글씨로 나...,1
"스토리, 연출력, 개연성 모두 엿 바꿔 쳐먹은 영화. 보면서 하나도 안 무서운 공포영화 중 톱이 될 듯 싶다. 이거보고 쪼는 색기들은 얼마나 쫄보길래.. 3류 쓰레기 영화. 호러라는 장르가 아깝다. ",1
관람객그닥재미없었음솔직히 ,1
나중에 집에서보면 어떨지 모르겠지만 극장에서 보니까 사운드 때문에 공포분위기 쩐다. 한국공포영화들 반성해라 ,10
심리적인 공포가 굉장히 크네요 ㅜ.. 집에 있는 인형들 보니까 무서워서 버리고싶어요… ,8
진짜 무섭다..  보면 깜작 놀랏듯 ,10
공포영화 잘보는 나도 솔직히 좀 무서웠다.. ,10
여주인공 죽빵날리고싶은영화 ㅎ_ㅎ ,1
관람객겁나 무서움 ㄷㄷ 눈감고 봣음 ㅋㅋ ,10
관람객Really nice ,10
관람객괜찬네요 긴장감고 좋고 지루하지 않앗어요 ,8
관람객아 진짜 겁나 ㅁ 서웠음 예고편으로 본 장면도 무서워서 떰...지림... ,10
미치겠다ㅋㅋ알바개쩌네 공포영화 매니아들은 보지마세요 욕나옴 ,1
정말 최고의 공포영화에요 !! ,10
보다가 졸은 영화가 몇개안되는데 이게 그중 하나다.전작은 진심 오줌지릴뻔했는데.  너무 큰기대를 한건지. . ,1
별하나도아까울만큼 너무 정말 심하게 재미없습니다 처음에 칼찔리는 그 장면만 약간 스릴있는정도 뜬금없이 내가죽을게 오지랍부리고 아무튼 쓰레기영화 클레맨타인이랑 동급 ,1
댓글에 낚인 영화..무서운장면이 없어 무섭지않은 영화.. ,1
1도 안무섭고 주인공여자 답답해서 욕하면서 봄 그리고 지땜에 사람죽었는데 바로 지 애 웃으면서 안는거 소름ㄷㄷ 주인공여자 고구마짓은 혼자 다하면서 남 말 자꾸 끊고 단호한척하는거 극혐 ,1
아? 이게 진짜 무서움..?;;; ,1
정말최악이다 그리고   다시보기도 싫다 ,1
뭐 감동 억지로 끼워넣은 느낌 ,1
진짜 짜증났다. 흑인할매가 대신 죽는게 말이냐? 빵구냐? ,1
관람객결말쓰렉이에요우오오이이잉 ,1
애나벨 이야기가 사실이라는 이야기에 놀랐다 ,10
진짜 하나도 안무섭다 이거 무섭다고 해서 봤는데 진짜 시간낭비 오지게했네 ,1
필름이 아깝다  드라마 보는 줄 ,1
"이상한 일이 생기면 버릴 줄 알아야지, 버렸는데 그 자리에 있으면 또 버릴 줄 알아야지. 인형이 안 좋은 거 알면 뒷자석이 아니라 옆자석에 냅둬야지, 웬 어이없는 희생; 보면서 너무 어이가 없었음. ",2
재미 없어요 스토리도 딱히 재미없고 무섭지도 않고 지루하고 갑툭튀 장면들도 1도 안놀랬네요 보는내내 여자 배우분 외모에 감탼한거밖에 없는 듯 ,3
아니 그러게 리락쿠마나 테디베어나 사모으지 저딴 기괴한 사람인형을  비싼돈주고 사니까 혼이 깃들어 저난리지 ,6
할말이 없음...장난수준 ,1
관람객진심 원작을 망치는 영화 왜만든거임? ,1
관람객머지...무서운게 하나도 없던데.. ,6
?미아 개 발암.. 사건 발단 전개 결말까지 미아의 오지랖 때문 ...사람이 대신 희생해서 죽었는데도 지 새끼 찾았다고 안도의 미소 짓는데 소오름 !그게 최고의 공포인듯...아는 사람이 더 무섭다 ,1
진짜 안무서워서 안무섭다는데 그게 가오는 무슨가오야;; 보다가 잠들뻔... 사람마다 느끼는게 다르니 무서운사람도 있지만 안무섭고 지루했던 사람도 있는거지 평점은 영화에 대한 내 의견을 적고 평가를 하는건데 내가 느낀...,1
쓰레기네 영화 엔딩 헐 이다 ㅎ 무섭지도 않고 어쩌자는거지 ,1
아 깜박 졸았네.... 잔잔한 하네요 ,1
관람객휴..이거보고 놀랄바에 거울보는게 나을듯하네요 ,1
관람객인형이너무못생겼어요 ,7
컨저링도 진짜 재밌게 봤는데 애나벨도 역시나~^^ ,10
심장이 쫄깃하게 만드는 미스터리 공포스릴러.. ,8
아놔...  친구는영화반못보고 난 쌍욕나오는줄ㅋ 재밌어요ㅋ ,10
어제 새벽에 보고 왔는데 진짜 재밌었다 역시 공포영화는 밤에 봐야 더 재미지는듯 ,10
진짜 지금까지본 공포중 갑이다.. 꼭보세요ㅋㅋㅋㅋ ,10
완전 무서웠어요 컨저링보다 더.. ,10
징그러운 장면이나 잔인한 장면 없는데도 절 긴장하게 만드네욤 ,9
인형이 너무 무서베 생겻어 ㅠㅠ 컨저링보다 느낌이 더욱 음산하다 ,10
보통 공포영화와는 차원이 다르다 영상과 음향만으로 사람을 이렇게 놀라게 만들수가 있다니; ,9
영화 후유증이 몇일은 갈듯요.. ,8
ㅋㅋㅋ컨저링뺨친다 공포영화 좋아하는사람은꼭봐라 ,10
이 영화 컨저링 카메라감독이 연출해서 만든거라는데 생각보다 진짜 잘만든듯ㅋㅋㅋㅋ 컨저링 못지않게 재밌고 무서웠음!! 공포영화 개좋닿ㅎㅎㅎㅎ 내스타일임ㅋㅋ ,10
진정한 공포영화!! 제임스완 제작진들은 사람 심리를 잘 이용하는듯한 마력을 가짐.. ,9
역시 제임스완의 공포영화는 기대를 저버리지 않는다 ,10
역시!! 기대를 저버리지 않네요~ 워렌부부 이야기들이 시리즈별로 계속 나왔으면 한다는 ,10
어제 심야로 보고 깜놀 ㅡ.ㅡ.. 강심장인 나도 집에오는데 다리가 후덜덜 거리더라 ,9
성인용 기저귀 차고가셈 ,10
징그러운 장면이나 귀신등장없이도 이렇게 무서울 수가 있구나.. 친구말로는 컨저링도 무섭다던데 컨저링도 한번 봐야겠네 ,10
심장이 쫄깃해지는 기분을 느껴보세요.. ,8
정신병 걸릴것같은 분위기를 조성해놓고는 헛웃음 나오는장면들을 보여준다. 그래도 인형 생김새랑 분위기자체가 너무 무서워서 보는내내 나가고 싶더라 지릴뻔ㅠ ,8
여기서 평점1점 올리는 사람은 초딩이나 중딩밖에 없다 ㅋㅋ 애나벨 컨저링보다 더 무서움..ㅜ ,10
컨져링은 진짜 하나도 안무서웠는데 이건 진짜 무서움.. 보는 내내 쭈그려서 눈 가리면서 봄.. 역대급...ㄱㅏㅇ츄 ,10
난 신부님한톄까지 악령이 그런짓을 할줄..스포인가?ㅋㅋ ,9
내가정리한다. 이블린 : 던짐 ㅅㄱ ,1
초자연적인 이야기는 언제나 긴장을 하게 만드는것 같아요. 애나벨 역시 처음부터 끝까지 긴장을 안할수 없는 영화 입니다.!!!! 애나벨.. 무서웠어ㅠㅠ ,10
대박 컨저링보다 738339393억배 무서움..컨저링보다안무섭다는사람 머지..? 아마 그분들은 애나벨볼때 무서워서 기절하신분들인듯. 엘레베이터장면 진짜 장난아닙니다... 남자분들 엄청지르시더군요 색다른경험이었어용ㅎㅎ...,10
관람객...컨저링 빨... ,5
관람객쓰레기 보다 졸앗다 레알ㅋ ,1
대체 저 인형을 사람들이 왜 좋아하는지;;:  무섭긴 무섭다 ㅎㄷㄷ ,10
쓰레기영화12321 ,1
"제임스완 광팬이고 인시디어스 컨저링 쏘우1,2 빼지 않고 다 봤다. 애나벨을 보고나서 감독 이름을 보고 눈을 비볐다. 보다가 잠든 공포영화 중 하나.. 악마가 나와 쫓아올땐 무섭긴 커녕 웃겼다. 연출력, 공포감 무엇...",1
"진부한 스토리, 익숙한 공포장치, 시시한 결말 ^^ ",5
나만 애나벨 얼굴 웃긴가.. 불그스름하고 웃고있는게 꼭 숙취한 아저씨같음.. 신부님이 파워장풍으로 날라가는게 압권 ,7
레아가 너무 귀여우다  가장 스릴있는건 서점주인이 악당일까 의심스러울때... 루즈하네요 ,5
아니 2는 아직 안봤지만 1이 무섭다는거 완전 거짓말 ㅋㅋㅋ 어떻게 와...결말은 왜 그렇게 끝났는지 이해가 안감 도대체 어디가 무섭다는거지?ㅋㅋ 엘리베이터씬이랑 꼬마애 뛰어오는건 좀 박진감 넘쳤다 어쨌든 역시 큰 ...,5
노잼의 극치 ㄹㅇㅋㅋ.. ,1
충분히 공포가 훌륭했다 하지만 마지막에 흑인아줌마가 대신 자살은 이해할수도 없고 스토리를 완전망쳐버렸다 ,7
다시한번 봐도 애엄마 연기가 왜 저따구냐.. 집중안되네 ,6
"엑소시스트,  컨저링,  인시디어스까지 식상한 퇴마술로재미 급감.  사실 악마 나올 때부터 콧웃음 밖에 안 나옴. 찰스 맨슨 추종자들이 나온 맨처음 부분이 그나마 공포영화스러웠다. 아무튼 시시한 영화 ",1
이딴게 공포영화라니 하나도안무섭다.  개노잼 ,1
이게 컨져링보다 무섭다하는 알바년들 진짜 반성해라... ,1
관람객재미없다 인형 불태워라 좀 ,1
관람객진짜 재미 드럽게없도이다 괜히봣소 ,1
관람객애나벨 새키... 깜짝 놀라게하내.. 울집에 있었으면 불로 태웠을텐데... ,8
관람객무서워용 많이기대는하지마시고 시간보내면서 한번쯤은 볼만해요 ,8
음향 스토리 결말 모든면에서 컨저링보다 조금씩 떨어집니다 . 제임스완의 흔적은 느껴지지만 그닥 크게 관여하진않은듯 ,7
흑인녀만 개죽음 당하고 영화는 끝났네요 ,5
진짜 지루함 자버렸음 산후우울증 걸린 여자의 이야기 ,2
긴장하고 놀라게 만드는 몇몇 장면들이 있긴 하지만 전체적으로 지루한 안봐도 될 영화. 애나벨 2만 보는게 낫다. 여주는 참 기품있고 매력적 ,5
컨저링에 비교하면 망작.. 이게 뭐가 무서움 원래 난 공포영화 보면 꼭 하나씩 기억에 남는데 애나벨은 그런 게 없음 ,1
그냥 지루하다 다 보는게 너무 힘들다 ,1
이게 무섭냐 색기들아 ㅡㅡ ,1
기억나는 개노잼영화중에하나라 들어와봤는데 평점왜이리높음 진짜 핵노잼 어디서 무서워해야될지모르겠던데 이거보고 무서워하는사람들이 존재한다는게 정말 신기함 다들 심장약해서 어찌살아여 ,1
아쉬움이 조금 남긴해요~ 그래도 오랜만에 공포영화 다운 공포체험을 한것 같네요 ㅋㅋ ,10
방금 보고왔는데 컨져링보다 더무서움 ,10
솔직히 무섭긴 무서움. 하지만 약간 뒤가 찝찝해서..ㅋㅋ ,10
하나묻자 심야로 혼자보고왔는데 어느포인트에서 멀 무서워해야되는건지 모르겠다 평점좀 제대로 해 내 생얼 애아 얼굴이 더 무섭다 ,1
최악의 쓰레기 영화 도대체 뭐가 무섭냐 인형 딱 봐도 저주 받게 생긴 비주얼인데 그걸 예쁘다고 쓰다듬는 여주부터... 뜬금없이 죽는 흑인 아줌마 ㅋㅋ 이건 공포가 아닌 코믹이다 ,1
공포영화로는 정말 실패작이다. 괴이한 인형을 보여주면서 뭔가 쇼크를 주지 않을까 내심 기대했었는데 결국 평이한 평범한 시간 낭비용 호러물이 됐다. 이 제작자의 솜씨는 꽝. 엑소시스트1(1973)같은 걸작 호러는 이제...,1
평점 알바가 판을 쳤었구나 ,1
관람객평점주는것도 아깝다 보고나서 애나벨 인형이랑 같이 잘수도있을거같다 ,1
진짜 아기는 건들지 마라.. 이런 심정으로 끝까지 봄 ㅋㅋ ,8
